ssp,scenario,region_gea,eneff,mat,eneff_f,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP2,LED,LAC,s1,perm,sr11_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s1,perm,sr12_low,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,LAC,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,LAC,s2,perm,sr21_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s2,perm,sr22_low,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,LAC,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,LAC,s3,perm,sr31_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,LAC,s3,perm,sr32_low,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,MEA,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,MEA,s1,perm,sr11_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s1,perm,sr12_low,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,MEA,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,MEA,s2,perm,sr21_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s2,perm,sr22_low,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,MEA,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,MEA,s3,perm,sr31_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,MEA,s3,perm,sr32_low,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,NAM,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,NAM,s1,perm,sr11_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s1,perm,sr12_low,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,NAM,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,NAM,s2,perm,sr21_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s2,perm,sr22_low,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,NAM,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,NAM,s3,perm,sr31_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,NAM,s3,perm,sr32_low,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAO,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAO,s1,perm,sr11_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s1,perm,sr12_low,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAO,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAO,s2,perm,sr21_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s2,perm,sr22_low,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAO,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAO,s3,perm,sr31_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAO,s3,perm,sr32_low,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAS,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAS,s1,perm,sr11_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s1,perm,sr12_low,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAS,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAS,s2,perm,sr21_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s2,perm,sr22_low,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAS,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,PAS,s3,perm,sr31_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,PAS,s3,perm,sr32_low,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,SAS,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,SAS,s1,perm,sr11_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,SAS,s1,perm,sr12_low,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,SAS,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,SAS,s2,perm,sr21_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,SAS,s2,perm,sr22_low,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,SAS,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,SAS,s3,perm,sr31_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,SAS,s3,perm,sr32_low,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,WEU,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,WEU,s1,perm,sr11_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,WEU,s1,perm,sr12_low,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,WEU,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,WEU,s2,perm,sr21_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,WEU,s2,perm,sr22_low,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,WEU,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP2,LED,WEU,s3,perm,sr31_std,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP2,LED,WEU,s3,perm,sr32_low,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
