region_gea,mat,eneff_i,eneff_f,year,value
LAC,perm,s2,sr21_std,2030,1
NAM,perm,s2,sr22_low,2030,0.05
WEU,perm,s2,sr22_low,2030,0.1
EEU,perm,s2,sr22_low,2030,0.1
FSU,perm,s2,sr22_low,2030,0.05
PAO,perm,s2,sr22_low,2030,0.05
CPA,perm,s2,sr22_low,2030,0.05
SAS,perm,s2,sr22_low,2030,0
PAS,perm,s2,sr22_low,2030,0
MEA,perm,s2,sr22_low,2030,0
AFR,perm,s2,sr22_low,2030,0
LAC,perm,s2,sr22_low,2030,0
NAM,perm,s3,sr31_std,2030,0.95
WEU,perm,s3,sr31_std,2030,0.9
EEU,perm,s3,sr31_std,2030,0.9
FSU,perm,s3,sr31_std,2030,0.95
PAO,perm,s3,sr31_std,2030,0.95
CPA,perm,s3,sr31_std,2030,0.95
SAS,perm,s3,sr31_std,2030,1
PAS,perm,s3,sr31_std,2030,1
MEA,perm,s3,sr31_std,2030,1
AFR,perm,s3,sr31_std,2030,1
LAC,perm,s3,sr31_std,2030,1
NAM,perm,s3,sr32_low,2030,0.05
WEU,perm,s3,sr32_low,2030,0.1
EEU,perm,s3,sr32_low,2030,0.1
FSU,perm,s3,sr32_low,2030,0.05
PAO,perm,s3,sr32_low,2030,0.05
CPA,perm,s3,sr32_low,2030,0.05
SAS,perm,s3,sr32_low,2030,0
PAS,perm,s3,sr32_low,2030,0
MEA,perm,s3,sr32_low,2030,0
AFR,perm,s3,sr32_low,2030,0
LAC,perm,s3,sr32_low,2030,0
NAM,perm,s1,sr11_std,2035,0.95
WEU,perm,s1,sr11_std,2035,0.9
EEU,perm,s1,sr11_std,2035,0.9
FSU,perm,s1,sr11_std,2035,0.95
PAO,perm,s1,sr11_std,2035,0.95
CPA,perm,s1,sr11_std,2035,0.95
SAS,perm,s1,sr11_std,2035,1
PAS,perm,s1,sr11_std,2035,1
MEA,perm,s1,sr11_std,2035,1
AFR,perm,s1,sr11_std,2035,1
LAC,perm,s1,sr11_std,2035,1
NAM,perm,s1,sr12_low,2035,0.05
WEU,perm,s1,sr12_low,2035,0.1
EEU,perm,s1,sr12_low,2035,0.1
FSU,perm,s1,sr12_low,2035,0.05
PAO,perm,s1,sr12_low,2035,0.05
CPA,perm,s1,sr12_low,2035,0.05
SAS,perm,s1,sr12_low,2035,0
PAS,perm,s1,sr12_low,2035,0
MEA,perm,s1,sr12_low,2035,0
AFR,perm,s1,sr12_low,2035,0
LAC,perm,s1,sr12_low,2035,0
NAM,perm,s2,sr21_std,2035,0.95
WEU,perm,s2,sr21_std,2035,0.9
EEU,perm,s2,sr21_std,2035,0.9
FSU,perm,s2,sr21_std,2035,0.95
PAO,perm,s2,sr21_std,2035,0.95
CPA,perm,s2,sr21_std,2035,0.95
SAS,perm,s2,sr21_std,2035,1
PAS,perm,s2,sr21_std,2035,1
MEA,perm,s2,sr21_std,2035,1
AFR,perm,s2,sr21_std,2035,1
LAC,perm,s2,sr21_std,2035,1
NAM,perm,s2,sr22_low,2035,0.05
WEU,perm,s2,sr22_low,2035,0.1
EEU,perm,s2,sr22_low,2035,0.1
FSU,perm,s2,sr22_low,2035,0.05
PAO,perm,s2,sr22_low,2035,0.05
CPA,perm,s2,sr22_low,2035,0.05
SAS,perm,s2,sr22_low,2035,0
PAS,perm,s2,sr22_low,2035,0
MEA,perm,s2,sr22_low,2035,0
AFR,perm,s2,sr22_low,2035,0
LAC,perm,s2,sr22_low,2035,0
NAM,perm,s3,sr31_std,2035,0.95
WEU,perm,s3,sr31_std,2035,0.9
EEU,perm,s3,sr31_std,2035,0.9
FSU,perm,s3,sr31_std,2035,0.95
PAO,perm,s3,sr31_std,2035,0.95
CPA,perm,s3,sr31_std,2035,0.95
SAS,perm,s3,sr31_std,2035,1
PAS,perm,s3,sr31_std,2035,1
MEA,perm,s3,sr31_std,2035,1
AFR,perm,s3,sr31_std,2035,1
LAC,perm,s3,sr31_std,2035,1
NAM,perm,s3,sr32_low,2035,0.05
WEU,perm,s3,sr32_low,2035,0.1
EEU,perm,s3,sr32_low,2035,0.1
FSU,perm,s3,sr32_low,2035,0.05
PAO,perm,s3,sr32_low,2035,0.05
CPA,perm,s3,sr32_low,2035,0.05
SAS,perm,s3,sr32_low,2035,0
PAS,perm,s3,sr32_low,2035,0
MEA,perm,s3,sr32_low,2035,0
AFR,perm,s3,sr32_low,2035,0
LAC,perm,s3,sr32_low,2035,0
NAM,perm,s1,sr11_std,2040,0.95
WEU,perm,s1,sr11_std,2040,0.9
EEU,perm,s1,sr11_std,2040,0.9
FSU,perm,s1,sr11_std,2040,0.95
PAO,perm,s1,sr11_std,2040,0.95
CPA,perm,s1,sr11_std,2040,0.95
SAS,perm,s1,sr11_std,2040,1
PAS,perm,s1,sr11_std,2040,1
MEA,perm,s1,sr11_std,2040,1
AFR,perm,s1,sr11_std,2040,1
LAC,perm,s1,sr11_std,2040,1
NAM,perm,s1,sr12_low,2040,0.05
WEU,perm,s1,sr12_low,2040,0.1
EEU,perm,s1,sr12_low,2040,0.1
FSU,perm,s1,sr12_low,2040,0.05
PAO,perm,s1,sr12_low,2040,0.05
CPA,perm,s1,sr12_low,2040,0.05
SAS,perm,s1,sr12_low,2040,0
PAS,perm,s1,sr12_low,2040,0
MEA,perm,s1,sr12_low,2040,0
AFR,perm,s1,sr12_low,2040,0
LAC,perm,s1,sr12_low,2040,0
NAM,perm,s2,sr21_std,2040,0.95
WEU,perm,s2,sr21_std,2040,0.9
EEU,perm,s2,sr21_std,2040,0.9
FSU,perm,s2,sr21_std,2040,0.95
PAO,perm,s2,sr21_std,2040,0.95
CPA,perm,s2,sr21_std,2040,0.95
SAS,perm,s2,sr21_std,2040,1
PAS,perm,s2,sr21_std,2040,1
MEA,perm,s2,sr21_std,2040,1
AFR,perm,s2,sr21_std,2040,1
LAC,perm,s2,sr21_std,2040,1
NAM,perm,s2,sr22_low,2040,0.05
WEU,perm,s2,sr22_low,2040,0.1
EEU,perm,s2,sr22_low,2040,0.1
FSU,perm,s2,sr22_low,2040,0.05
PAO,perm,s2,sr22_low,2040,0.05
CPA,perm,s2,sr22_low,2040,0.05
SAS,perm,s2,sr22_low,2040,0
PAS,perm,s2,sr22_low,2040,0
MEA,perm,s2,sr22_low,2040,0
AFR,perm,s2,sr22_low,2040,0
LAC,perm,s2,sr22_low,2040,0
NAM,perm,s3,sr31_std,2040,0.95
WEU,perm,s3,sr31_std,2040,0.9
EEU,perm,s3,sr31_std,2040,0.9
FSU,perm,s3,sr31_std,2040,0.95
PAO,perm,s3,sr31_std,2040,0.95
CPA,perm,s3,sr31_std,2040,0.95
SAS,perm,s3,sr31_std,2040,1
PAS,perm,s3,sr31_std,2040,1
MEA,perm,s3,sr31_std,2040,1
AFR,perm,s3,sr31_std,2040,1
LAC,perm,s3,sr31_std,2040,1
NAM,perm,s3,sr32_low,2040,0.05
WEU,perm,s3,sr32_low,2040,0.1
EEU,perm,s3,sr32_low,2040,0.1
FSU,perm,s3,sr32_low,2040,0.05
PAO,perm,s3,sr32_low,2040,0.05
CPA,perm,s3,sr32_low,2040,0.05
SAS,perm,s3,sr32_low,2040,0
PAS,perm,s3,sr32_low,2040,0
MEA,perm,s3,sr32_low,2040,0
AFR,perm,s3,sr32_low,2040,0
LAC,perm,s3,sr32_low,2040,0
NAM,perm,s1,sr11_std,2045,0.95
WEU,perm,s1,sr11_std,2045,0.9
EEU,perm,s1,sr11_std,2045,0.9
FSU,perm,s1,sr11_std,2045,0.95
PAO,perm,s1,sr11_std,2045,0.95
CPA,perm,s1,sr11_std,2045,0.95
SAS,perm,s1,sr11_std,2045,1
PAS,perm,s1,sr11_std,2045,1
MEA,perm,s1,sr11_std,2045,1
AFR,perm,s1,sr11_std,2045,1
LAC,perm,s1,sr11_std,2045,1
NAM,perm,s1,sr12_low,2045,0.05
WEU,perm,s1,sr12_low,2045,0.1
EEU,perm,s1,sr12_low,2045,0.1
FSU,perm,s1,sr12_low,2045,0.05
PAO,perm,s1,sr12_low,2045,0.05
CPA,perm,s1,sr12_low,2045,0.05
SAS,perm,s1,sr12_low,2045,0
PAS,perm,s1,sr12_low,2045,0
MEA,perm,s1,sr12_low,2045,0
AFR,perm,s1,sr12_low,2045,0
LAC,perm,s1,sr12_low,2045,0
NAM,perm,s2,sr21_std,2045,0.95
WEU,perm,s2,sr21_std,2045,0.9
EEU,perm,s2,sr21_std,2045,0.9
FSU,perm,s2,sr21_std,2045,0.95
PAO,perm,s2,sr21_std,2045,0.95
CPA,perm,s2,sr21_std,2045,0.95
SAS,perm,s2,sr21_std,2045,1
PAS,perm,s2,sr21_std,2045,1
MEA,perm,s2,sr21_std,2045,1
AFR,perm,s2,sr21_std,2045,1
LAC,perm,s2,sr21_std,2045,1
NAM,perm,s2,sr22_low,2045,0.05
WEU,perm,s2,sr22_low,2045,0.1
EEU,perm,s2,sr22_low,2045,0.1
FSU,perm,s2,sr22_low,2045,0.05
PAO,perm,s2,sr22_low,2045,0.05
CPA,perm,s2,sr22_low,2045,0.05
SAS,perm,s2,sr22_low,2045,0
PAS,perm,s2,sr22_low,2045,0
MEA,perm,s2,sr22_low,2045,0
AFR,perm,s2,sr22_low,2045,0
LAC,perm,s2,sr22_low,2045,0
NAM,perm,s3,sr31_std,2045,0.95
WEU,perm,s3,sr31_std,2045,0.9
EEU,perm,s3,sr31_std,2045,0.9
FSU,perm,s3,sr31_std,2045,0.95
PAO,perm,s3,sr31_std,2045,0.95
CPA,perm,s3,sr31_std,2045,0.95
SAS,perm,s3,sr31_std,2045,1
PAS,perm,s3,sr31_std,2045,1
MEA,perm,s3,sr31_std,2045,1
AFR,perm,s3,sr31_std,2045,1
LAC,perm,s3,sr31_std,2045,1
NAM,perm,s3,sr32_low,2045,0.05
WEU,perm,s3,sr32_low,2045,0.1
EEU,perm,s3,sr32_low,2045,0.1
FSU,perm,s3,sr32_low,2045,0.05
PAO,perm,s3,sr32_low,2045,0.05
CPA,perm,s3,sr32_low,2045,0.05
SAS,perm,s3,sr32_low,2045,0
PAS,perm,s3,sr32_low,2045,0
MEA,perm,s3,sr32_low,2045,0
AFR,perm,s3,sr32_low,2045,0
LAC,perm,s3,sr32_low,2045,0
NAM,perm,s1,sr11_std,2050,0.95
WEU,perm,s1,sr11_std,2050,0.9
EEU,perm,s1,sr11_std,2050,0.9
FSU,perm,s1,sr11_std,2050,0.95
PAO,perm,s1,sr11_std,2050,0.95
CPA,perm,s1,sr11_std,2050,0.95
SAS,perm,s1,sr11_std,2050,1
PAS,perm,s1,sr11_std,2050,1
MEA,perm,s1,sr11_std,2050,1
AFR,perm,s1,sr11_std,2050,1
LAC,perm,s1,sr11_std,2050,1
NAM,perm,s1,sr12_low,2050,0.05
WEU,perm,s1,sr12_low,2050,0.1
EEU,perm,s1,sr12_low,2050,0.1
FSU,perm,s1,sr12_low,2050,0.05
PAO,perm,s1,sr12_low,2050,0.05
CPA,perm,s1,sr12_low,2050,0.05
SAS,perm,s1,sr12_low,2050,0
PAS,perm,s1,sr12_low,2050,0
MEA,perm,s1,sr12_low,2050,0
AFR,perm,s1,sr12_low,2050,0
LAC,perm,s1,sr12_low,2050,0
NAM,perm,s2,sr21_std,2050,0.95
WEU,perm,s2,sr21_std,2050,0.9
EEU,perm,s2,sr21_std,2050,0.9
FSU,perm,s2,sr21_std,2050,0.95
PAO,perm,s2,sr21_std,2050,0.95
CPA,perm,s2,sr21_std,2050,0.95
SAS,perm,s2,sr21_std,2050,1
PAS,perm,s2,sr21_std,2050,1
MEA,perm,s2,sr21_std,2050,1
AFR,perm,s2,sr21_std,2050,1
LAC,perm,s2,sr21_std,2050,1
NAM,perm,s2,sr22_low,2050,0.05
WEU,perm,s2,sr22_low,2050,0.1
EEU,perm,s2,sr22_low,2050,0.1
FSU,perm,s2,sr22_low,2050,0.05
PAO,perm,s2,sr22_low,2050,0.05
CPA,perm,s2,sr22_low,2050,0.05
SAS,perm,s2,sr22_low,2050,0
PAS,perm,s2,sr22_low,2050,0
MEA,perm,s2,sr22_low,2050,0
AFR,perm,s2,sr22_low,2050,0
LAC,perm,s2,sr22_low,2050,0
NAM,perm,s3,sr31_std,2050,0.95
WEU,perm,s3,sr31_std,2050,0.9
EEU,perm,s3,sr31_std,2050,0.9
FSU,perm,s3,sr31_std,2050,0.95
PAO,perm,s3,sr31_std,2050,0.95
CPA,perm,s3,sr31_std,2050,0.95
SAS,perm,s3,sr31_std,2050,1
PAS,perm,s3,sr31_std,2050,1
MEA,perm,s3,sr31_std,2050,1
AFR,perm,s3,sr31_std,2050,1
LAC,perm,s3,sr31_std,2050,1
NAM,perm,s3,sr32_low,2050,0.05
WEU,perm,s3,sr32_low,2050,0.1
EEU,perm,s3,sr32_low,2050,0.1
FSU,perm,s3,sr32_low,2050,0.05
PAO,perm,s3,sr32_low,2050,0.05
CPA,perm,s3,sr32_low,2050,0.05
SAS,perm,s3,sr32_low,2050,0
PAS,perm,s3,sr32_low,2050,0
MEA,perm,s3,sr32_low,2050,0
AFR,perm,s3,sr32_low,2050,0
LAC,perm,s3,sr32_low,2050,0
NAM,perm,s1,sr11_std,2055,0.95
WEU,perm,s1,sr11_std,2055,0.9
EEU,perm,s1,sr11_std,2055,0.9
FSU,perm,s1,sr11_std,2055,0.95
PAO,perm,s1,sr11_std,2055,0.95
CPA,perm,s1,sr11_std,2055,0.95
SAS,perm,s1,sr11_std,2055,1
PAS,perm,s1,sr11_std,2055,1
MEA,perm,s1,sr11_std,2055,1
AFR,perm,s1,sr11_std,2055,1
LAC,perm,s1,sr11_std,2055,1
NAM,perm,s1,sr12_low,2055,0.05
WEU,perm,s1,sr12_low,2055,0.1
EEU,perm,s1,sr12_low,2055,0.1
FSU,perm,s1,sr12_low,2055,0.05
PAO,perm,s1,sr12_low,2055,0.05
CPA,perm,s1,sr12_low,2055,0.05
SAS,perm,s1,sr12_low,2055,0
PAS,perm,s1,sr12_low,2055,0
MEA,perm,s1,sr12_low,2055,0
AFR,perm,s1,sr12_low,2055,0
LAC,perm,s1,sr12_low,2055,0
NAM,perm,s2,sr21_std,2055,0.95
WEU,perm,s2,sr21_std,2055,0.9
EEU,perm,s2,sr21_std,2055,0.9
FSU,perm,s2,sr21_std,2055,0.95
PAO,perm,s2,sr21_std,2055,0.95
CPA,perm,s2,sr21_std,2055,0.95
SAS,perm,s2,sr21_std,2055,1
PAS,perm,s2,sr21_std,2055,1
MEA,perm,s2,sr21_std,2055,1
AFR,perm,s2,sr21_std,2055,1
LAC,perm,s2,sr21_std,2055,1
NAM,perm,s2,sr22_low,2055,0.05
WEU,perm,s2,sr22_low,2055,0.1
EEU,perm,s2,sr22_low,2055,0.1
FSU,perm,s2,sr22_low,2055,0.05
PAO,perm,s2,sr22_low,2055,0.05
CPA,perm,s2,sr22_low,2055,0.05
SAS,perm,s2,sr22_low,2055,0
PAS,perm,s2,sr22_low,2055,0
MEA,perm,s2,sr22_low,2055,0
AFR,perm,s2,sr22_low,2055,0
LAC,perm,s2,sr22_low,2055,0
NAM,perm,s3,sr31_std,2055,0.95
WEU,perm,s3,sr31_std,2055,0.9
EEU,perm,s3,sr31_std,2055,0.9
FSU,perm,s3,sr31_std,2055,0.95
PAO,perm,s3,sr31_std,2055,0.95
CPA,perm,s3,sr31_std,2055,0.95
SAS,perm,s3,sr31_std,2055,1
PAS,perm,s3,sr31_std,2055,1
MEA,perm,s3,sr31_std,2055,1
AFR,perm,s3,sr31_std,2055,1
LAC,perm,s3,sr31_std,2055,1
NAM,perm,s3,sr32_low,2055,0.05
WEU,perm,s3,sr32_low,2055,0.1
EEU,perm,s3,sr32_low,2055,0.1
FSU,perm,s3,sr32_low,2055,0.05
PAO,perm,s3,sr32_low,2055,0.05
CPA,perm,s3,sr32_low,2055,0.05
SAS,perm,s3,sr32_low,2055,0
PAS,perm,s3,sr32_low,2055,0
MEA,perm,s3,sr32_low,2055,0
AFR,perm,s3,sr32_low,2055,0
LAC,perm,s3,sr32_low,2055,0
NAM,perm,s1,sr11_std,2060,0.95
WEU,perm,s1,sr11_std,2060,0.9
EEU,perm,s1,sr11_std,2060,0.9
FSU,perm,s1,sr11_std,2060,0.95
PAO,perm,s1,sr11_std,2060,0.95
CPA,perm,s1,sr11_std,2060,0.95
SAS,perm,s1,sr11_std,2060,1
PAS,perm,s1,sr11_std,2060,1
MEA,perm,s1,sr11_std,2060,1
AFR,perm,s1,sr11_std,2060,1
LAC,perm,s1,sr11_std,2060,1
NAM,perm,s1,sr12_low,2060,0.05
WEU,perm,s1,sr12_low,2060,0.1
EEU,perm,s1,sr12_low,2060,0.1
FSU,perm,s1,sr12_low,2060,0.05
PAO,perm,s1,sr12_low,2060,0.05
CPA,perm,s1,sr12_low,2060,0.05
SAS,perm,s1,sr12_low,2060,0
PAS,perm,s1,sr12_low,2060,0
MEA,perm,s1,sr12_low,2060,0
AFR,perm,s1,sr12_low,2060,0
LAC,perm,s1,sr12_low,2060,0
NAM,perm,s2,sr21_std,2060,0.95
WEU,perm,s2,sr21_std,2060,0.9
EEU,perm,s2,sr21_std,2060,0.9
FSU,perm,s2,sr21_std,2060,0.95
PAO,perm,s2,sr21_std,2060,0.95
CPA,perm,s2,sr21_std,2060,0.95
SAS,perm,s2,sr21_std,2060,1
PAS,perm,s2,sr21_std,2060,1
MEA,perm,s2,sr21_std,2060,1
AFR,perm,s2,sr21_std,2060,1
LAC,perm,s2,sr21_std,2060,1
NAM,perm,s2,sr22_low,2060,0.05
WEU,perm,s2,sr22_low,2060,0.1
EEU,perm,s2,sr22_low,2060,0.1
FSU,perm,s2,sr22_low,2060,0.05
PAO,perm,s2,sr22_low,2060,0.05
CPA,perm,s2,sr22_low,2060,0.05
SAS,perm,s2,sr22_low,2060,0
PAS,perm,s2,sr22_low,2060,0
MEA,perm,s2,sr22_low,2060,0
AFR,perm,s2,sr22_low,2060,0
LAC,perm,s2,sr22_low,2060,0
NAM,perm,s3,sr31_std,2060,0.95
WEU,perm,s3,sr31_std,2060,0.9
EEU,perm,s3,sr31_std,2060,0.9
FSU,perm,s3,sr31_std,2060,0.95
PAO,perm,s3,sr31_std,2060,0.95
CPA,perm,s3,sr31_std,2060,0.95
SAS,perm,s3,sr31_std,2060,1
PAS,perm,s3,sr31_std,2060,1
MEA,perm,s3,sr31_std,2060,1
AFR,perm,s3,sr31_std,2060,1
LAC,perm,s3,sr31_std,2060,1
NAM,perm,s3,sr32_low,2060,0.05
WEU,perm,s3,sr32_low,2060,0.1
EEU,perm,s3,sr32_low,2060,0.1
FSU,perm,s3,sr32_low,2060,0.05
PAO,perm,s3,sr32_low,2060,0.05
CPA,perm,s3,sr32_low,2060,0.05
SAS,perm,s3,sr32_low,2060,0
PAS,perm,s3,sr32_low,2060,0
MEA,perm,s3,sr32_low,2060,0
AFR,perm,s3,sr32_low,2060,0
LAC,perm,s3,sr32_low,2060,0
NAM,perm,s1,sr11_std,2065,0.95
WEU,perm,s1,sr11_std,2065,0.9
EEU,perm,s1,sr11_std,2065,0.9
FSU,perm,s1,sr11_std,2065,0.95
PAO,perm,s1,sr11_std,2065,0.95
CPA,perm,s1,sr11_std,2065,0.95
SAS,perm,s1,sr11_std,2065,1
PAS,perm,s1,sr11_std,2065,1
MEA,perm,s1,sr11_std,2065,1
AFR,perm,s1,sr11_std,2065,1
LAC,perm,s1,sr11_std,2065,1
NAM,perm,s1,sr12_low,2065,0.05
WEU,perm,s1,sr12_low,2065,0.1
EEU,perm,s1,sr12_low,2065,0.1
FSU,perm,s1,sr12_low,2065,0.05
PAO,perm,s1,sr12_low,2065,0.05
CPA,perm,s1,sr12_low,2065,0.05
SAS,perm,s1,sr12_low,2065,0
PAS,perm,s1,sr12_low,2065,0
MEA,perm,s1,sr12_low,2065,0
AFR,perm,s1,sr12_low,2065,0
LAC,perm,s1,sr12_low,2065,0
NAM,perm,s2,sr21_std,2065,0.95
WEU,perm,s2,sr21_std,2065,0.9
EEU,perm,s2,sr21_std,2065,0.9
FSU,perm,s2,sr21_std,2065,0.95
PAO,perm,s2,sr21_std,2065,0.95
CPA,perm,s2,sr21_std,2065,0.95
SAS,perm,s2,sr21_std,2065,1
PAS,perm,s2,sr21_std,2065,1
MEA,perm,s2,sr21_std,2065,1
AFR,perm,s2,sr21_std,2065,1
LAC,perm,s2,sr21_std,2065,1
NAM,perm,s2,sr22_low,2065,0.05
WEU,perm,s2,sr22_low,2065,0.1
EEU,perm,s2,sr22_low,2065,0.1
FSU,perm,s2,sr22_low,2065,0.05
